x,y,id
303.5739416973415,361.25374922736694,Myriel
259.79682463727073,373.9852194806163,Napoleon
359.6438608406251,333.75389213144354,Mlle.Baptistine
365.4566510614383,354.5419766406854,Mme.Magloire
262.7198524663442,353.4958203549672,CountessdeLo
281.96172710425435,396.6838667625478,Geborand
267.5314570981462,380.9284008758125,Champtercier
266.4920168901233,342.03136404207595,Cravatte
270.2610817007598,391.3622740132414,Count
258.57141588753933,363.1949144267892,OldMan
454.83040946458476,357.51144469709993,Labarre
451.7117182791203,319.85321323141477,Valjean
423.3779876335458,239.85325128499048,Marguerite
439.25347367444374,355.8420523769087,Mme.deR
415.12503896073224,330.46926056518,Isabeau
414.40216972090917,315.75067259758947,Gervais
462.1348027013417,123.09312416076827,Tholomyes
409.90627680688453,93.18729802117647,Listolier
431.8246352987671,58.347712892968,Fameuil
430.8635825257706,86.1525667000747,Blacheville
411.29642282871697,61.48855718976139,Favourite
448.0894446004268,71.68510823358189,Dahlia
396.88197448100254,77.53014788050751,Zephine
428.2561994672764,166.27339434492512,Fantine
473.497199586866,249.90023472443684,Mme.Thenardier
511.4173203794575,280.7553177121945,Thenardier
489.57985319533503,231.266249206262,Cosette
469.92775304781145,291.1901076783417,Javert
400.37615224466845,286.6346205724359,Fauchelevent
410.97972907633584,342.82139578483026,Bamatabois
396.6308220648681,182.80840449700133,Perpetue
429.0905889699619,231.27407220554534,Simplice
426.52482747503853,349.84522258348704,Scaufflaire
428.3819118100095,292.169337480276,Woman1
432.52567898420955,405.2170444013282,Judge
393.99207183635025,383.0730537031811,Champmathieu
417.89221492723044,390.6449185295938,Brevet
410.0393137858658,413.5622641968262,Chenildieu
389.22444469873665,401.9391473081069,Cochepaille
562.8797525575146,250.67882832081062,Pontmercy
487.70557388639975,254.75154240309968,Boulatruelle
555.0586875484325,300.33937625125293,Eponine
519.1748021109394,251.256722219791,Anzelma
441.66161066613296,266.7143979205937,Woman2
396.1874763579406,317.7722353249041,MotherInnocent
356.845598093216,275.59943274988404,Gribier
575.5628530572387,468.8835567443917,Jondrette
577.9231757349502,424.88334646840116,Mme.Burgon
578.9551610295455,363.11795183193664,Gavroche
531.5862557086546,261.3050319944844,Gillenormand
503.421378531635,217.91963385938016,Magnon
530.3221329667681,234.61936946766568,Mlle.Gillenormand
565.1988142046384,203.1164631163899,Mme.Pontmercy
537.6592053196134,193.49783606328793,Mlle.Vaubois
559.4624499421803,230.22926786321278,Lt.Gillenormand
585.740988666199,288.1931093325717,Marius
582.8446424170806,251.2088268303355,BaronessT
636.100200868765,317.3273429423295,Mabeuf
595.6988900030398,343.57458884291503,Enjolras
644.8583197765673,354.4300746753859,Combeferre
658.9829965795205,388.9886112105321,Prouvaire
634.4043968843816,368.735565444848,Feuilly
637.5990295158051,339.0074103952712,Courfeyrac
664.0892802820365,365.58434361669026,Bahorel
606.6216663276871,366.5806979092265,Bossuet
665.077644613323,346.93063534234335,Joly
646.302532301476,404.970294067089,Grantaire
671.657020801784,300.90767614852274,MotherPlutarch
516.910594474775,322.384605768339,Gueulemer
498.55051436768986,327.02439614668737,Babet
513.2118467264804,305.2637443883685,Claquesous
510.42074445784147,347.55623848995293,Montparnasse
452.77583827192274,265.26508904422474,Toussaint
594.0680297139551,408.10643288245944,Child1
564.9874767360434,406.67798363892723,Child2
541.565959033795,338.1759530375799,Brujon
633.1078463792768,387.0495622017951,Mme.Hucheloup